fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220927 234307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	222	TRUE	700429	0.033861466946812	0.516363110921435	1806	884	8300	27320000	52
20220927 234405	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	700429	0.0378946118737865	0.524958135355084	2000	786	8710	27620000	53
20220927 234441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	700429	0.0948848727429433	0.535429469617325	1146	1024	9172	26780000	54
20220927 234523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	700429	0.0605159376376632	0.522615448724205	2156	355	8530	27180000	55
20220927 234543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	700429	0.149358663476857	0.761584686080063	5677	1024	8673	26340000	56
20220927 234706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	274	TRUE	700429	0.0169723793197099	0.733193084031945	4275	1024	10216	26130000	57
20220927 234744	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	700429	0.0489833516738078	0.719392608036975	1243	820	8636	26810000	58
20220927 234906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	318	TRUE	700429	0.0163576715616151	0.750531528669737	6520	655	8875	27130000	59
20220927 235013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	700429	0.0305758169188111	0.45269751046894	2081	335	8502	27720000	60
20220927 235143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	700429	0.0336270983757756	0.519620858817239	1713	1024	7097	27010000	61
20220927 235252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	160	TRUE	700429	0.0291937653660058	0.480324550168447	2647	352	8593	27300000	62
20220927 235427	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	204	TRUE	700429	0.0351260405538909	0.413000356749358	1614	339	8219	28130000	63
20220927 235544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	700429	0.0369242366051476	0.400242221351888	1770	430	8152	27780000	64
20220927 235657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	255	TRUE	700429	0.0315916416399288	0.40008146346405	5993	237	8236	27050000	65
20220927 235730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	700429	0.111231295431221	0.400942025879451	1417	299	8177	26850000	66
20220927 235754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	700429	0.0969041438569785	0.797979505618485	7993	202	8421	26600000	67
20220927 235829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	700429	0.108623184439737	0.581210408737906	7992	320	10479	26730000	68
20220927 235910	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	161	TRUE	700429	0.149775257310913	0.545633768559922	7994	757	9745	26430000	69
20220928 000044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	255	TRUE	700429	0.0292331023600625	0.400498816838178	1087	424	10839	26970000	70
20220928 000157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	237	TRUE	700429	0.0232908974819867	0.648817632844007	7982	262	10614	26460000	71
20220928 000731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1104	TRUE	700429	0.00680313421143854	0.797167603140035	1220	1024	7802	27280000	72
20220928 000753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	700429	0.107666047411587	0.67474137332355	7999	427	8425	26670000	73
20220928 001025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	801	TRUE	700429	0.0125013893206348	0.799584750379565	6283	1024	5066	24030000	74
20220928 001530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1373	TRUE	700429	0.0053205076194775	0.799351676110825	4814	202	8184	26840000	75
20220928 001627	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	700429	0.0830365115252415	0.500693569048192	7983	810	8334	27020000	76
20220928 001659	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	700429	0.130290238421676	0.511953467734112	2122	811	8190	26820000	77
