fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 101728	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1089	1	1	1	0.1	50	0.5	FALSE	700423	0.0723019463253708	0.598780987142865	1833	787	3.39225994464441e-06	15560	16320000	39
20221030 103024	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	485	1	1	1	0.1	50	0.5	FALSE	700423	0.0356370042229711	0.607910754511459	4313	713	0.0153441820631652	13452	19976000	40
20221030 104140	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	238	1	1	1	0.1	50	0.5	FALSE	700423	0.0324478865152237	0.628021702818712	1312	1766	0.0136714724598327	14537	18846000	41
20221030 105618	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	673	1	1	1	0.1	50	0.5	FALSE	700423	0.0772876707797498	0.671609411633248	2878	708	0.000323878036100724	15340	17800000	42
20221030 112200	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	879	1	1	1	0.1	50	0.5	FALSE	700423	0.103611430200781	0.522627976479428	1578	959	9.83055891675057e-07	14550	16580000	43
20221030 114631	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1216	1	1	1	0.1	50	0.5	FALSE	700423	0.107488166687428	0.355047338994732	6201	1241	0.000202153684559113	14613	17014000	44
20221030 120142	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	711	1	1	1	0.1	50	0.5	FALSE	700423	0.0950014513761434	0.298012806800613	4245	1618	0.000802996847855111	14346	18828000	45
20221030 122033	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	1	0.1	50	0.5	FALSE	700423	0.0819587432825158	0.56055259086811	4943	1101	0.00209887391853382	15204	17752000	46
20221030 130905	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3881	1	1	1	0.1	50	0.5	FALSE	700423	0.00862333569444367	0.679736800366035	3441	92	0.0101114770792707	14485	19110000	47
20221030 131811	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	435	1	1	1	0.1	50	0.5	FALSE	700423	0.121881443224412	0.790953874350665	6273	2013	0.00326094656549641	13794	18012000	48
20221030 133043	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	402	1	1	1	0.1	50	0.5	FALSE	700423	0.0728993240387004	0.591624110223493	5771	706	0.0104528258070624	13466	18428000	49
20221030 142501	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3053	1	1	1	0.1	50	0.5	FALSE	700423	0.0282546144885162	0.318382929104427	5152	416	0.000728190382196185	13722	19196000	50
20221030 144533	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	926	1	1	1	0.1	50	0.5	FALSE	700423	0.110566278162905	0.328431299580587	1048	1831	2.82273610160055e-07	14886	16628000	51
20221030 145324	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	146	1	1	1	0.1	50	0.5	FALSE	700423	0.0421006665237632	0.210400654132897	721	1848	0.0142495976952002	13685	19830000	52
20221030 150414	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	325	1	1	1	0.1	50	0.5	FALSE	700423	0.049995782246826	0.332708844728302	2881	1659	0.0147334177052298	12242	20556000	53
20221030 153204	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1199	1	1	1	0.1	50	0.5	FALSE	700423	0.0384068350718182	0.398710299395304	6804	1990	0.0073884937139821	13169	19822000	54
20221030 160123	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1229	1	1	1	0.1	50	0.5	FALSE	700423	0.0688876201213908	0.455767242890084	5330	899	0.000609530824231817	14965	17750000	55
20221030 161331	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	529	1	1	1	0.1	50	0.5	FALSE	700423	0.136638646149951	0.321499154306203	6662	578	0.00226813677421212	14143	17794000	56
20221030 162538	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	510	1	1	1	0.1	50	0.5	FALSE	700423	0.138621067538125	0.696619425200764	2583	457	4.97034148585921e-05	14426	17628000	57
20221030 170840	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2652	1	1	1	0.1	50	0.5	FALSE	700423	0.0479648196290596	0.28814916269891	7655	590	0.000642793144034535	14454	18212000	58
20221030 172231	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	892	1	1	1	0.1	50	0.5	FALSE	700423	0.0626986447909207	0.223923441671487	1800	85	0.00619846866531519	14520	18800000	59
20221030 174316	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	721	1	1	1	0.1	50	0.5	FALSE	700423	0.0655886141650367	0.515308180776332	2815	191	0.00137368713615935	15410	17980000	60
20221030 180118	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	282	1	1	1	0.1	50	0.5	FALSE	700423	0.0207542601386865	0.561283687681286	750	797	0.0170336546567499	12386	20428000	61
20221030 182335	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	977	1	1	1	0.1	50	0.5	FALSE	700423	0.0468367925498239	0.711460467237886	2305	1065	0.000296126016332974	15155	17770000	62
20221030 185114	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1827	1	1	1	0.1	50	0.5	FALSE	700423	0.0462642437508306	0.20062997637759	3454	781	0.000180293460650333	14842	18236000	63
20221030 192344	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1202	1	1	1	0.1	50	0.5	FALSE	700423	0.0431641655363934	0.496665510901017	4523	864	0.00166575503843823	15074	18012000	64
20221030 194211	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	585	1	1	1	0.1	50	0.5	FALSE	700423	0.0541891404322442	0.580923219984816	5597	1717	0.00793360159765453	14582	18036000	65
20221030 204621	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3097	1	1	1	0.1	50	0.5	FALSE	700423	0.0116498262413184	0.3977284272552	7553	752	0.0117324499067337	13879	19282000	66
