"maxdepth","minsplit","minbucket","threshold","y","dob","eol","error.message","exec.time","ei","error.model","train.time","prop.type","propose.time","se","mean"
20,1062,0.293055064019987,0.0474340223565036,20638666.6666667,26,NA,NA,89.0129999999999,-37740.9228212573,NA,0.128000000000156,"infill_ei",0.936999999999898,685730.553503047,20533393.7652866
20,825,0.481544987905889,0.0583519069333808,19822666.6666667,27,NA,NA,85.4969999999998,-32220.2574520193,NA,0.146999999999935,"infill_ei",0.922000000000025,879901.56577209,20130258.090868
20,183,0.443239357258546,0.0389483652689406,15921333.3333333,28,NA,NA,109.842,-12641.4721147554,NA,0.109999999999673,"infill_ei",0.905999999999949,1179427.00093086,19107765.8306258
18,1414,0.189479551272964,0.051369409251961,20765333.3333333,29,NA,NA,86.1999999999998,-42230.4501350704,NA,0.186999999999898,"infill_ei",0.920999999999822,367070.378335813,21059917.0027313
18,1772,0.268087522670605,0.0468818505488911,21080000,30,NA,NA,78.6480000000001,-28643.3462463315,NA,0.242000000000189,"infill_ei",0.942999999999756,134211.152549296,21302169.9883153
16,1867,0.230973692620152,0.0471188139909052,21284000,31,NA,NA,78.5859999999998,-37775.728117242,NA,0.19399999999996,"infill_ei",0.895999999999731,57914.630205319,21387743.5577326
4,2986,0.0978991524810443,0.0432238166277246,18657333.3333333,32,NA,NA,34.268,-22272.3081440049,NA,0.177999999999884,"infill_ei",0.9399999999996,1076034.33596281,19588546.1395981
19,2599,0.240433005735817,0.0408206969137863,20432000,33,NA,NA,71.3759999999993,-23931.1665268078,NA,0.139999999999418,"infill_ei",1.01900000000023,620841.504152953,20507626.1347687
17,2251,0.242598961176736,0.0512621525984937,20581333.3333333,34,NA,NA,78.8089999999993,-15777.7604096372,NA,0.146999999999935,"infill_ei",0.949000000000524,302452.498965119,20989064.6834588
8,2036,0.137259845206594,0.0559716344974912,20878666.6666667,35,NA,NA,57.5110000000004,-11218.1409341905,NA,0.128999999999905,"infill_ei",1.02199999999993,486334.204183515,20582971.6973404
15,1098,0.412086583260436,0.0490890709966378,20658666.6666667,36,NA,NA,80.3280000000004,-10318.0038804201,NA,0.177000000000589,"infill_ei",0.932000000000698,624052.191638448,20276131.2926844
15,1037,0.241912513751072,0.0485779273881642,20481333.3333333,37,NA,NA,86.7380000000003,-9503.14680688708,NA,0.206000000000131,"infill_ei",0.928999999999178,394361.553573312,20737750.2588908
15,1879,0.244496219658273,0.0412420638298404,20989333.3333333,38,NA,NA,78.7889999999998,-15323.3831759279,NA,0.131999999999607,"infill_ei",1.02800000000025,255951.810321363,21063678.8026596
20,1265,0.437558391878723,0.050381643924145,19888000,39,NA,NA,74.8060000000005,-10026.1467029544,NA,0.182000000000698,"infill_ei",0.981999999999971,427833.021776057,20679633.3637155
11,938,0.499882458229402,0.0478801461795898,20950666.6666667,40,NA,NA,69.6419999999998,-19607.4296968373,NA,0.207000000000335,"infill_ei",1.16100000000006,639187.103723826,20416729.3069968
8,968,0.499987680361216,0.0622479987071245,19950666.6666667,41,NA,NA,56.451,-18249.0965174359,NA,0.201000000000022,"infill_ei",1.05500000000029,869860.222356173,19933374.1047267
20,3308,0.146317247306946,0.0300016018547219,18608000,42,NA,NA,74.7240000000002,-7797.47437139845,NA,0.171000000000276,"infill_ei",1.03399999999965,1111903.80948136,19060346.613148
11,1834,0.164857137672254,0.0497253871240406,21030666.6666667,43,NA,NA,70.6989999999996,-13303.906851006,NA,0.140999999999622,"infill_ei",1,211168.02438496,21121330.6803857
7,2616,0.499792417294543,0.0568487578136875,19126666.6666667,44,NA,NA,52.9400000000005,-6430.24338380512,NA,0.170000000000073,"infill_ei",0.989999999999782,926357.29769663,19441085.3133203
3,2445,0.157045413227468,0.0598567057706379,18092000,45,NA,NA,28.3650000000007,-5779.86517268732,NA,0.114999999999782,"infill_ei",0.934000000000196,693022.612491013,19971996.7135228
14,1007,0.499896575808188,0.0518156432324868,20292000,46,NA,NA,86.402,-21328.9189411031,NA,0.172999999999774,"infill_ei",1.13500000000022,394730.85388819,20881784.2096513
20,1848,0.163764206363121,0.0556091780475814,20638666.6666667,47,NA,NA,103.417,-29532.8962105906,NA,0.155999999999949,"infill_ei",1.23999999999978,414353.217187886,20914863.1850587
9,994,0.40503078970118,0.0461789022591861,21020000,48,NA,NA,73.7340000000004,-32665.6622939759,NA,0.425000000000182,"infill_ei",1.08100000000013,466547.103994035,20854227.3790437
